      37,   0.053409,   0.942013,   0.230788
      52,   0.053531,   0.951291,   0.237258
      68,   0.053165,   0.960325,   0.243728
      83,   0.068547,   0.964353,   0.239700
      99,   0.063297,   0.955686,   0.240554
     114,   0.057560,   0.952512,   0.232131
     129,   0.054386,   0.953366,   0.234206
     145,   0.056217,   0.963621,   0.241287
     161,   0.060612,   0.972777,   0.247391
     176,   0.056949,   0.974364,   0.243728
     192,   0.050845,   0.964109,   0.234206
     207,   0.045108,   0.948972,   0.224562
     222,   0.042666,   0.944332,   0.224440
     238,   0.050723,   0.952634,   0.232985
     253,   0.059391,   0.962766,   0.244827
     268,   0.062809,   0.974730,   0.247513
     284,   0.066227,   0.972044,   0.243606
     300,   0.063419,   0.963621,   0.239089
     315,   0.056461,   0.952268,   0.235427
     331,   0.052432,   0.947507,   0.232497
     346,   0.056461,   0.952145,   0.236648
     362,   0.062077,   0.961179,   0.241165
     377,   0.053897,   0.967039,   0.239089
     392,   0.049625,   0.954343,   0.230422
     408,   0.070134,   0.962278,   0.244583
     423,   0.052554,   0.955075,   0.233718
     439,   0.052432,   0.962278,   0.237136
     454,   0.057804,   0.963255,   0.238601
     469,   0.052799,   0.954831,   0.236892
     485,   0.056949,   0.966307,   0.236892
     501,   0.049136,   0.958982,   0.234694
     517,   0.058414,   0.964109,   0.241775
     532,   0.053775,   0.958860,   0.234328
     548,   0.060001,   0.959836,   0.238601
     564,   0.059025,   0.960447,   0.235793
     579,   0.051334,   0.956784,   0.236404
     594,   0.056949,   0.963133,   0.238479
     610,   0.051090,   0.959592,   0.235549
     626,   0.057804,   0.961423,   0.240310
     641,   0.049136,   0.961301,   0.241409
     657,   0.050601,   0.959226,   0.232985
     673,   0.057560,   0.960325,   0.243240
     689,   0.052921,   0.953855,   0.242752
     704,   0.073674,   0.955686,   0.244949
     720,   0.055362,   0.955320,   0.239578
     735,   0.050479,   0.962522,   0.239944
     750,   0.067082,   0.958982,   0.243118
     766,   0.048648,   0.966917,   0.235671
     782,   0.067692,   0.954099,   0.242141
     797,   0.053043,   0.958372,   0.235427
     812,   0.054630,   0.963010,   0.239822
     828,   0.060001,   0.954709,   0.239578
     843,   0.057193,   0.959104,   0.238601
     859,   0.052432,   0.962034,   0.237624
     874,   0.051944,   0.960935,   0.233596
     890,   0.062199,   0.957395,   0.236159
     905,   0.061344,   0.957517,   0.239578
     921,   0.055484,   0.963255,   0.240188
     936,   0.048282,   0.962766,   0.236282
     952,   0.052799,   0.961790,   0.235427
     968,   0.062687,   0.955320,   0.240310
     983,   0.055118,   0.958616,   0.234939
     999,   0.051456,   0.964475,   0.236648
    1014,   0.062321,   0.954099,   0.238479
    1030,   0.058292,   0.955564,   0.237136
    1045,   0.055362,   0.960447,   0.238723
    1061,   0.054752,   0.959348,   0.238845
    1076,   0.048038,   0.965696,   0.236159
    1091,   0.049380,   0.962644,   0.234450
    1107,   0.058292,   0.959592,   0.238601
    1123,   0.054630,   0.957883,   0.238967
    1139,   0.051944,   0.961057,   0.236648
    1154,   0.052554,   0.961423,   0.237746
    1170,   0.051090,   0.959714,   0.237258
    1185,   0.053165,   0.961545,   0.240066
    1201,   0.051212,   0.960569,   0.235061
    1216,   0.052310,   0.958249,   0.238113
    1231,   0.050967,   0.959226,   0.234328
    1247,   0.049869,   0.961912,   0.238113
    1263,   0.048770,   0.963987,   0.235427
    1278,   0.054386,   0.957151,   0.239334
    1293,   0.049869,   0.960935,   0.237136
    1309,   0.051456,   0.960813,   0.237136
    1324,   0.049747,   0.962156,   0.234084
    1339,   0.044497,   0.970213,   0.234817
    1355,   0.052310,   0.958127,   0.235915
    1371,   0.049380,   0.961545,   0.234817
    1386,   0.045108,   0.963987,   0.232741
    1401,   0.050601,   0.966062,   0.258622
    1417,   0.063664,   0.963377,   0.279131
    1433,   0.069890,   1.088018,   0.215895
    1447,   0.120552,   1.008912,   0.222731
    1464,   0.141915,   1.002564,   0.223952
    1479,   0.128975,   1.044436,   0.222243
    1494,   0.131050,   1.087652,   0.232253
    1509,   0.138741,   1.075932,   0.169993
    1524,   0.155222,   1.137460,   0.197705
    1539,   0.183178,   1.162364,   0.241042
    1555,   0.204419,   1.120369,   0.263871
    1571,   0.183178,   1.077031,   0.237136
    1586,   0.152658,   1.066777,   0.205030
    1601,   0.153391,   1.082402,   0.173167
    1617,   0.138986,   1.077275,   0.175487
    1632,   0.122749,   1.049320,   0.184398
    1648,   0.121528,   0.999268,   0.181102
    1663,   0.132271,   0.942868,   0.182934
    1679,   0.158030,   0.881462,   0.170604
    1694,   0.199170,   0.850577,   0.154978
    1710,   0.242385,   0.846670,   0.144357
    1724,   0.295733,   0.864005,   0.110541
    1740,   0.321248,   0.851676,   0.125801
    1755,   0.339803,   0.826772,   0.135567
    1771,   0.365806,   0.821644,   0.131050
    1786,   0.420863,   0.818837,   0.102118
    1801,   0.469328,   0.811390,   0.096991
    1816,   0.504730,   0.784044,   0.070988
    1832,   0.510712,   0.747543,   0.073796
    1848,   0.551364,   0.772325,   0.070500
    1864,   0.605811,   0.778795,   0.076970
    1880,   0.661967,   0.750473,   0.089910
    1895,   0.691509,   0.712019,   0.080144
    1911,   0.708234,   0.700543,   0.089666
    1926,   0.728133,   0.689556,   0.078191
    1942,   0.747665,   0.629128,   0.071599
    1958,   0.763902,   0.542331,   0.095160
    1973,   0.798328,   0.455167,   0.127144
    1989,   0.863395,   0.366661,   0.143625
    2004,   0.888543,   0.279253,   0.162547
    2020,   0.991455,   0.230910,   0.172801
    2036,   1.060306,   0.231154,   0.187572
    2051,   1.109870,   0.191723,   0.185985
    2067,   1.084234,   0.106147,   0.192333
    2082,   1.048587,   0.023744,   0.192944
    2097,   1.062382,  -0.080388,   0.177928
    2112,   1.052493,  -0.187572,   0.169749
    2128,   1.036135,  -0.274248,   0.182567
    2143,   1.035036,  -0.384484,   0.189770
    2158,   0.995849,  -0.462858,   0.218336
    2174,   0.899896,  -0.518159,   0.253250
    2190,   0.839834,  -0.553684,   0.254593
    2205,   0.769395,  -0.615577,   0.248001
    2221,   0.667948,  -0.729842,   0.201733
    2236,   0.573582,  -0.842520,   0.134957
    2252,   0.535494,  -0.881829,   0.127632
